time,id,lux,temp,hum,press,alt,current
2025-11-19 15:42:16,2,39.17,24.38,53.3,100719.0,65.2,-0.7
2025-11-19 15:42:18,1,13.33,26.04,51.65,100744.0,62.61,-0.5
2025-11-19 15:42:46,2,39.17,24.39,53.12,100713.0,65.45,-0.9
2025-11-19 15:42:48,1,13.33,26.02,51.57,100745.0,63.19,-0.2
2025-11-19 15:43:16,2,39.17,24.37,52.92,100723.0,64.7,-0.6
2025-11-19 15:43:18,1,13.33,25.98,51.32,100742.0,63.11,-0.4
2025-11-19 15:43:46,2,39.17,24.34,53.01,100718.0,65.28,-0.6
2025-11-19 15:43:48,1,13.33,25.99,51.49,100740.0,63.27,-0.5
2025-11-19 15:44:16,2,39.17,24.31,52.89,100717.0,64.86,-0.6
2025-11-19 15:44:18,1,13.33,25.94,51.41,100751.0,62.61,-0.4
2025-11-19 15:44:46,2,38.33,24.28,52.95,100717.0,65.28,-0.7
2025-11-19 15:44:48,1,13.33,25.89,51.48,100752.0,63.02,-0.5
2025-11-19 15:45:16,2,37.5,24.25,53.22,100720.0,64.95,-0.7
2025-11-19 15:45:18,1,13.33,25.91,51.66,100748.0,62.94,0.0
2025-11-19 15:45:46,2,38.33,24.19,53.18,100720.0,65.45,-0.6
2025-11-19 15:45:48,1,13.33,25.87,51.52,100750.0,62.44,-0.5
2025-11-19 15:46:16,2,38.33,24.18,53.51,100720.0,65.11,-0.6
2025-11-19 15:46:18,1,13.33,25.85,51.79,100754.0,62.44,-0.2
2025-11-19 15:46:46,2,37.5,24.16,52.85,100722.0,64.78,-0.9
2025-11-19 15:46:48,1,13.33,25.79,51.44,100754.0,62.44,-0.2
2025-11-19 15:47:16,2,38.33,24.13,52.96,100718.0,64.95,-0.8
2025-11-19 15:47:18,1,13.33,25.77,51.32,100757.0,62.02,-0.5
2025-11-19 15:47:46,2,38.33,24.14,52.87,100722.0,65.2,-0.7
2025-11-19 15:47:48,1,13.33,25.77,51.26,100752.0,62.69,-0.3
2025-11-19 15:48:16,2,38.33,24.1,52.83,100719.0,64.86,-1.0
2025-11-19 15:48:19,1,13.33,25.76,51.43,100748.0,62.19,-0.3
2025-11-19 15:48:46,2,38.33,24.08,52.78,100723.0,64.95,-0.9
2025-11-19 15:48:49,1,13.33,25.75,51.21,100744.0,62.36,-0.4
2025-11-19 15:49:16,2,38.33,24.07,52.75,100721.0,64.78,0.0
2025-11-19 15:49:19,1,13.33,25.77,51.16,100742.0,62.69,-0.5
2025-11-19 15:49:46,2,38.33,24.07,53.09,100724.0,64.95,-0.6
2025-11-19 15:49:49,1,13.33,25.74,51.39,100761.0,61.6,-0.2
2025-11-19 15:50:16,2,38.33,24.03,52.84,100720.0,64.45,-1.0
2025-11-19 15:50:19,1,13.33,25.77,51.19,100751.0,62.77,-0.5
2025-11-19 15:50:47,2,38.33,24.03,53.02,100730.0,64.53,-0.9
2025-11-19 15:50:49,1,13.33,25.74,51.28,100755.0,62.27,-0.2
2025-11-19 15:51:17,2,38.33,24.02,52.82,100718.0,64.7,-0.6
2025-11-19 15:51:19,1,13.33,25.7,51.21,100750.0,62.52,-0.6
2025-11-19 15:51:47,2,37.5,23.99,52.64,100719.0,65.2,-0.9
2025-11-19 15:51:49,1,13.33,25.65,50.9,100751.0,62.1,-0.4
2025-11-19 15:52:17,2,38.33,23.97,52.98,100724.0,64.19,-0.8
2025-11-19 15:52:19,1,13.33,25.61,51.01,100750.0,62.86,-0.3
2025-11-19 15:52:47,2,38.33,23.97,52.8,100725.0,64.45,-0.5
2025-11-19 15:52:49,1,13.33,25.62,51.13,100752.0,62.61,-0.3
2025-11-19 15:53:17,2,38.33,23.95,52.96,100721.0,64.19,-0.9
2025-11-19 15:53:19,1,13.33,25.62,51.25,100757.0,62.44,-0.2
2025-11-19 15:53:47,2,38.33,23.91,52.59,100736.0,64.19,-0.8
2025-11-19 15:53:49,1,13.33,25.6,51.04,100760.0,62.19,-0.3
2025-11-19 15:54:17,2,38.33,23.94,52.59,100727.0,64.86,-0.6
2025-11-19 15:54:19,1,13.33,25.6,51.1,100757.0,61.77,-0.2
2025-11-19 15:54:47,2,38.33,23.92,52.24,100734.0,64.03,-0.7
2025-11-19 15:54:49,1,13.33,25.57,50.7,100759.0,61.85,-0.2
2025-11-19 15:55:17,2,38.33,23.92,52.19,100729.0,64.11,-1.0
2025-11-19 15:55:19,1,13.33,25.56,50.64,100751.0,62.36,-0.4
2025-11-19 15:55:47,2,37.5,23.89,52.07,100729.0,63.94,-0.7
2025-11-19 15:55:49,1,13.33,25.57,50.68,100752.0,61.85,-0.4
2025-11-19 15:56:17,2,37.5,23.87,52.09,100734.0,63.53,-0.5
2025-11-19 15:56:19,1,13.33,25.54,50.63,100750.0,61.52,-0.5
2025-11-19 15:56:47,2,36.67,23.9,52.4,100732.0,64.19,0.0
2025-11-19 15:56:49,1,13.33,25.56,50.82,100753.0,61.94,-0.2
2025-11-19 15:57:17,2,35.83,23.88,51.91,100726.0,64.19,0.0
2025-11-19 15:57:20,1,13.33,25.58,50.4,100761.0,62.02,-0.7
2025-11-19 15:57:47,2,37.5,23.87,51.87,100735.0,64.11,-0.8
2025-11-19 15:57:50,1,13.33,25.57,50.22,100762.0,61.52,-0.2
2025-11-19 15:58:17,2,37.5,23.87,51.86,100730.0,64.11,-0.5
2025-11-19 15:58:20,1,13.33,25.6,50.16,100765.0,61.44,-0.3
2025-11-19 15:58:47,2,36.67,23.87,51.64,100734.0,63.94,0.0
2025-11-19 15:58:50,1,13.33,25.6,49.9,100758.0,62.02,-0.6
